Polygon_id,x_coordiates,y_coordinates
1,16214,8195
1,15015,9095
1,14265,9755
1,13485,9215
1,12495,9095
1,11385,8885
1,10515,9095
1,9315,9515
1,8055,10385
1,7065,10745
1,6315,10715
1,6045,10295
1,5985,9485
1,6345,8285
1,7245,7205
1,7785,6635
1,8715,6095
1,9735,5585
1,11085,5195
1,12405,5045
1,13665,5285
1,14385,5915
1,15285,6995
2,16514,7985
2,16664,8645
2,17294,9035
2,18434,9665
2,18944,10055
2,19964,9665
2,20894,9605
2,21794,9605
2,22964,9995
2,24014,10355
2,24854,10235
2,25154,9755
2,25334,8885
2,24554,7685
2,23714,6815
2,22634,6035
2,21494,5465
2,20384,5555
2,19304,5795
2,18644,6305
2,17954,7205
2,17264,7445
3,10935,5345
3,9735,5585
3,8685,6215
3,7395,6995
3,6705,7745
3,6135,8645
3,5895,9785
3,5895,10805
3,315,10865
3,615,9245
3,1455,7805
3,2145,6635
3,3345,5555
3,4305,4805
3,5535,3785
3,6945,2885
3,8505,2135
3,9195,1955
4,21314,5345
4,22184,5585
4,23084,6035
4,23804,6545
4,24494,7235
4,25004,7865
4,25304,8555
4,25484,9515
4,25754,10355
4,25814,11135
4,31484,11285
4,30614,8615
4,29984,7115
4,28154,5195
4,26804,3935
4,25034,3155
4,23834,2615
4,22514,2195
5,6315,15185
5,5385,14915
5,3645,15545
5,3195,16535
5,3045,17495
5,4005,18635
5,4905,18905
5,6255,18755
5,7485,18155
5,7515,16685
5,7155,15785
6,26384,16055
6,25454,17045
6,24734,17855
6,25004,18755
6,25754,19295
6,26954,19085
6,27884,18845
6,28814,18155
6,29384,17105
6,29264,15785
6,28844,15095
6,27434,15005
